"basisOfRecord","dcterms:bibliographicCitation","dcterms:bibliographicCitation","collectionID","collectionCode","dataGeneralizations","datasetID","datasetName","dynamicProperties","informationWithheld","institutionID","institutionCode","dcterms:language","dcterms:license","dcterms:modified","ownerInstitutionCode","basisOfRecord","dcterms:references","dcterms:accessRights","dcterms:rightsHolder","dcterms:type","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","behavior","catalogNumber","recordedBy","disposition","establishmentMeans","individualCount","lifeStage","occurrenceRemarks","occurrenceStatus","occurrenceID","organismQuantity","organismQuantityType","otherCatalogNumbers","preparations","sex","recordNumber","reproductiveCondition","associatedOrganisms","associatedOccurrences","organismID","organismName","organismRemarks","organismScope","previousIdentifications","day","endDayOfYear","eventRemarks","eventTime","eventID","fieldNotes","fieldNumber","habitat","month","eventDate","parentEventID","sampleSizeUnit","samplingEffort","samplingProtocol","startDayOfYear","verbatimEventDate","year","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","verbatimDepth","verbatimElevation","footprintSRS","footprintSpatialFit","footprintWKT","geodeticDatum","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","georeferencedBy","georeferencedDate","higherGeography","higherGeographyID","island","islandGroup","decimalLatitude","locality","locationAccordingTo","locationRemarks","locationID","decimalLongitude","maximumDepthInMeters","maximumElevationInMeters","maximumDistanceAboveSurfaceInMeters","minimumDepthInMeters","minimumElevationInMeters","minimumDistanceAboveSurfaceInMeters","municipality","pointRadiusSpatialFit","stateProvince","verbatimCoordinateSystem","verbatimCoordinates","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","waterBody","identificationID","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","dateIdentified","identificationQualifier","typeStatus"
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Price G.J. & Sobbe, I.H., 2005, Pleistocene palaeoecology and environmental change on the Darling Downs, southeastern Queensland, Australia, Memoirs of the Queensland Museum, 51(1): 171-201","","","","DAVO-2914","","","","1","","","present","","","","DAVO=2914","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-26.5","","Price G.J. and Sobbe, I.H. 2005. Pleistocene palaeoecology and environmental change on the Darling Downs, southeastern Queensland, Australia. Memoirs of the Queensland Museum 51(1): 171-201.","","","152.9","","","","","","","Darling Downs","","Queensland","degrees minutes","","-26 30","QML1396 Horizon D","152 54","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Dawson, L., 1985, Marsupial fossils from Wellington Caves, New South Wales; the historic and scientific significance of the collections in the Australian Museum, Sydney, Records of the Australian Museum, 37(2): 55-69","","","","DAVO-3097","","","","1","","","present","","","","DAVO=3097","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-32.6","","Dawson, L. 1985. Marsupial fossils from Wellington Caves, New South Wales; the historic and scientific significance of the collections in the Australian Museum, Sydney. Records of the Australian Museum 37(2): 55-69.","","","148.92000000000002","","","","","","","","","New South Wales","degrees minutes","","-32 36","Mitchell Cave (= Breccia Cave), Wellington Caves","148 55","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Dawson, L., 1985, Marsupial fossils from Wellington Caves, New South Wales; the historic and scientific significance of the collections in the Australian Museum, Sydney, Records of the Australian Museum, 37(2): 55-69","","","","DAVO-3098","","","","1","","","present","","","","DAVO=3098","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-32.6","","Dawson, L. 1985. Marsupial fossils from Wellington Caves, New South Wales; the historic and scientific significance of the collections in the Australian Museum, Sydney. Records of the Australian Museum 37(2): 55-69.","","","148.92000000000002","","","","","","","","","New South Wales","degrees minutes","","-32 36","Bone Cave, Wellington Caves","148 55","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Wells, R.T., Gr�n, R., Sullivan, J., Forbes, M.S., Dalgairns, S.N., Bestland, E.A., Rhodes, E.J., Walshe, K.E., Spooner, N.A. & Eggins, S., 2006, Late Pleistocene megafauna site at Black Creek Swamp, Flinders Chase National Park, Kangaroo Island, South Australia, Alcheringa Special Issue, 1: 367-387","","","","DAVO-3206","","","","1","","","present","","","","DAVO=3206","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-35.95","","Wells, R.T., Gr�n, R., Sullivan, J., Forbes, M.S., Dalgairns, S.N., Bestland, E.A., Rhodes, E.J., Walshe, K.E., Spooner, N.A. and Eggins, S. 2006. Late Pleistocene megafauna site at Black Creek Swamp, Flinders Chase National Park, Kangaroo Island, South Australia. Alcheringa Special Issue 1: 367-387.","","","136.73","","","","","","","","","South Australia","degrees minutes","","-35 57","Black Creek Swamp, Rocky River","136 44","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","Palaeontology","","","Database of Australasian Vertebrate Occurrences","","","","SAMA","","","","","FossilSpecimen","","","","","","Reed, E.H. and Bourne, S.J., 2000, Pleistocene fossil vertebrate sites from the South East region of South Australia, Transactions of the Royal Society of South Australia, 124(2): 61-90","","","","DAVO-3329","","","","1","","","present","","","","DAVO=3329","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-37.03","","Reed, E.H. and Bourne, S.J. 2000. Pleistocene fossil vertebrate sites from the South East region of South Australia. Transactions of the Royal Society of South Australia 124(2): 61-90.","","","140.8","","","","","","","","","South Australia","degrees minutes","","-37 02","Victoria Fossil Cave Main Fossil Chamber","140 48","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","Palaeontology","","","Database of Australasian Vertebrate Occurrences","","","","SAMA","","","","","FossilSpecimen","","","","","","Prideaux, G.J., Roberts, R.G., Megirian, D., Westaway, K.E., Hellstrom, J.C. & Olley, J.M., 2007, Mammalian responses to Pleistocene climate change in southeastern Australia, Geology, 35(1): 33-36","","","","DAVO-3389","","","","1","","","present","","","","DAVO=3389","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-37.03","","Prideaux, G.J., Roberts, R.G., Megirian, D., Westaway, K.E., Hellstrom, J.C. and Olley, J.M. 2007. Mammalian responses to Pleistocene climate change in southeastern Australia. Geology 35(1): 33-36.","","","140.8","","","","","","","","","South Australia","degrees minutes","","-37 02","Cathedral Cave Fossil Chamber","140 48","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","Fossils","","","Database of Australasian Vertebrate Occurrences","","","","WAM","","","","","FossilSpecimen","","","","","","Baynes, A., Merrilees, D. &  Porter, J.K., 1975, Mammal remains from the upper levels of a late Pleistocene deposit in Devil's Lair, Western Australia, Journal of the Royal Society of Western Australia, 58(4): 97-126","","","","DAVO-3506","","","","1","","","present","","","","DAVO=3506","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-34.13","","Baynes, A., Merrilees, D. and  Porter, J.K. 1976. Mammal remains from the upper levels of a late Pleistocene deposit in Devil's Lair, Western Australia. Journal of the Royal Society of Western Australia 58(4): 97-126.","","","115.07000000000001","","","","","","","","","Western Australia","degrees minutes","","-34 08","Devil's Lair","115 04","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Lundelius, E.L. & Turnbull, W.D., 1989, The mammalian fauna of Madura Cave, Western Australia. Part VII: Macropodidae: Sthenurinae, Macropodinae, with a review of the marsupial portion of the fauna, Fieldiana: Geology, new series, 17: 1-71","","","","DAVO-3602","","","","1","","","present","","","","DAVO=3602","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-31.98","","Lundelius, E.L. and Turnbull, W.D. 1989. The mammalian fauna of Madura Cave, Western Australia. Part VII: Macropodidae: Sthenurinae, Macropodinae, with a review of the marsupial portion of the fauna. Fieldiana, Geology, new series 17:1-71.","Unit 2-3","","127.03","","","","","","","","","Western Australia","degrees minutes","","-31 59","Madura Cave (= Madura Six Miles South Cave = 6N62)","127 02","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Milham, P. & Thompson, P., 1976, Relative antiquity of human occupation and extinct fauna at Madura Cave, southeastern Western Australia, Mankind, 10: 175-180","","","","DAVO-3657","","","","1","","","present","","","","DAVO=3657","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-31.98","","Milham, P. and Thompson, P. 1976. Relative antiquity of human occupation and extinct fauna at Madura Cave, southeastern Western Australia. Mankind 10: 175-180.","South Tunnel","","127.03","","","","","","","","","Western Australia","degrees minutes","","-31 59","Madura Cave (= Madura Six Miles South Cave = 6N62)","127 02","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","Fossils","","","Database of Australasian Vertebrate Occurrences","","","","WAM","","","","","FossilSpecimen","","","","","","Prideaux, G.J., Long, J.A., Ayliffe, L.K., Hellstrom, J.C., Pillans, B., Boles, W.E., Hutchinson, M.N., Roberts, R.G., Cupper, M.L., Arnold, L.J., Devine, P.D. & Warburton, N.M., 2007, An arid-adapted middle Pleistocene vertebrate fauna from south-central Australia, Nature, 445: 422-425","","","","DAVO-3758","","","","1","","","present","","","","DAVO=3758","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-31.150000000000002","","Prideaux, G.J., Long, J.A., Ayliffe, L.K., Hellstrom, J.C., Pillans, B., Boles, W.E., Hutchinson, M.N., Roberts, R.G., Cupper, M.L., Arnold, L.J., Devine, P.D. & Warburton, N.M.","","","127.95","","","","","","","","","Western Australia","degrees minutes","","-31 09","Thylacoleo Caves (site not specified)","127 57","EPSG:4283","","","","","","","","",""
